,subject,congruency,rt,acc,task
387,10,incongruent,0.484868941,1,flanker
388,10,congruent,0.40138653599999996,1,flanker
389,10,congruent,0.43481169199999997,0,flanker
390,10,incongruent,0.568208072,1,flanker
391,10,congruent,0.40134468700000003,1,flanker
392,10,incongruent,0.5014708370000001,0,flanker
393,10,incongruent,0.484822813,1,flanker
394,10,incongruent,0.35126275700000004,1,flanker
395,10,incongruent,0.484866698,1,flanker
396,10,congruent,0.418048739,1,flanker
397,10,incongruent,0.368039877,1,flanker
398,10,congruent,0.40134574900000003,1,flanker
399,10,incongruent,0.384592815,1,flanker
400,10,incongruent,0.35136233099999997,0,flanker
401,10,congruent,0.451425928,1,flanker
402,10,incongruent,0.418042909,1,flanker
403,10,congruent,0.401425104,1,flanker
404,10,congruent,0.317958731,1,flanker
405,10,incongruent,0.418033186,1,flanker
406,10,incongruent,0.518142726,1,flanker
407,10,incongruent,0.5849929700000001,1,flanker
408,10,congruent,0.368010371,1,flanker
409,10,congruent,0.368052289,1,flanker
410,10,congruent,0.384747385,1,flanker
411,10,congruent,0.384689934,1,flanker
412,10,congruent,0.334626628,1,flanker
413,10,congruent,0.401467909,1,flanker
414,10,incongruent,0.48481680899999996,1,flanker
415,10,congruent,0.351295548,1,flanker
416,10,incongruent,0.384747727,1,flanker
417,10,incongruent,0.451355096,1,flanker
418,10,incongruent,0.568298765,1,flanker
419,10,incongruent,0.5682993470000001,1,flanker
420,10,incongruent,0.38477698099999996,1,flanker
421,10,incongruent,0.368055013,1,flanker
422,10,congruent,0.418063218,1,flanker
423,10,incongruent,0.484814591,1,flanker
424,10,congruent,0.351382419,1,flanker
425,10,congruent,0.35128617300000003,1,flanker
426,10,incongruent,0.418134601,1,flanker
427,10,congruent,0.334661876,1,flanker
428,10,incongruent,0.368003327,1,flanker
429,10,incongruent,0.35139717000000004,0,flanker
430,10,incongruent,0.418088879,1,flanker
431,10,congruent,0.43473393499999996,1,flanker
432,10,incongruent,0.4514409,1,flanker
433,10,congruent,0.43482783999999997,1,flanker
434,10,incongruent,0.351283107,0,flanker
435,10,incongruent,0.801893454,0,flanker
436,10,congruent,0.46808724,1,flanker
437,10,incongruent,0.40137321600000003,1,flanker
438,10,congruent,0.418041741,1,flanker
439,10,congruent,0.401360423,1,flanker
440,10,congruent,0.6516822250000001,1,flanker
441,10,congruent,0.418061956,1,flanker
442,10,congruent,0.401403772,1,flanker
443,10,congruent,0.36804774300000004,1,flanker
444,10,incongruent,0.41800441,1,flanker
445,10,congruent,0.384722179,1,flanker
446,10,congruent,0.384705401,1,flanker
447,10,congruent,0.401280009,1,flanker
448,10,congruent,0.534885662,1,flanker
449,10,incongruent,0.418199986,1,flanker
450,10,congruent,0.35137328500000004,1,flanker
451,10,incongruent,0.501554388,1,flanker
452,10,incongruent,0.40141803,1,flanker
453,10,incongruent,0.501498586,1,flanker
454,10,congruent,0.418139522,1,flanker
455,10,congruent,0.35136148500000003,1,flanker
456,10,incongruent,0.36800279999999996,1,flanker
457,10,incongruent,0.434774407,0,flanker
458,10,incongruent,0.434810252,1,flanker
459,10,congruent,0.434715873,1,flanker
460,10,incongruent,0.484759046,1,flanker
461,10,congruent,0.48489555100000004,1,flanker
462,10,congruent,0.401378169,1,flanker
463,10,congruent,0.33465932600000003,1,flanker
464,10,congruent,0.40135793599999997,1,flanker
465,10,congruent,0.38481155899999997,1,flanker
466,10,congruent,0.36792508900000004,1,flanker
467,10,congruent,0.384656571,1,flanker
468,10,incongruent,0.368045726,1,flanker
469,10,congruent,0.35097347100000004,1,flanker
470,10,incongruent,0.451517565,1,flanker
471,10,incongruent,0.43471825799999997,1,flanker
472,10,congruent,0.584803235,1,flanker
473,10,incongruent,0.417772823,1,flanker
474,10,incongruent,0.40144342499999996,1,flanker
475,10,incongruent,0.368077484,0,flanker
476,10,incongruent,0.518229609,0,flanker
477,10,incongruent,0.41805464999999997,1,flanker
478,10,incongruent,0.518237283,1,flanker
479,10,congruent,0.384701319,1,flanker
480,10,incongruent,0.468094811,1,flanker
481,10,incongruent,0.384706718,1,flanker
482,10,incongruent,0.501560773,1,flanker
483,10,congruent,0.401434438,1,flanker
484,10,congruent,0.418128708,1,flanker
485,10,incongruent,0.38470218,1,flanker
486,10,congruent,0.401417058,1,flanker
487,10,incongruent,0.384697277,1,flanker
488,10,congruent,0.367998374,1,flanker
489,10,incongruent,0.501573233,1,flanker
490,10,congruent,0.35134809300000003,1,flanker
491,10,congruent,0.38471560699999996,1,flanker
492,10,incongruent,0.384668831,0,flanker
493,10,incongruent,0.351338187,1,flanker
494,10,incongruent,0.7016533110000001,1,flanker
495,10,congruent,0.384611936,1,flanker
496,10,congruent,0.351374549,1,flanker
497,10,congruent,0.418065635,1,flanker
498,10,congruent,0.368040618,1,flanker
499,10,incongruent,0.534900836,1,flanker
500,10,congruent,0.43472907600000005,1,flanker
501,10,incongruent,0.484765949,1,flanker
502,10,congruent,0.351254408,1,flanker
503,10,congruent,0.35139210200000004,1,flanker
504,10,incongruent,0.401420349,1,flanker
505,10,incongruent,0.468205886,1,flanker
506,10,incongruent,0.484865488,1,flanker
507,10,congruent,0.33464000800000004,1,flanker
508,10,incongruent,0.468126594,1,flanker
509,10,incongruent,0.418074787,1,flanker
510,10,incongruent,0.367970459,0,flanker
511,10,incongruent,0.568218619,1,flanker
512,10,congruent,0.368019517,1,flanker
513,10,incongruent,0.384746597,1,flanker
514,10,incongruent,0.484761701,1,flanker
515,10,congruent,0.351364379,1,flanker
516,10,congruent,0.367987078,1,flanker
517,10,incongruent,0.451147542,1,flanker
518,10,congruent,0.45146097300000004,1,flanker
519,10,incongruent,0.351050959,1,flanker
